endpoint,name,output_type,resolutions,duration_options,supports_768p,supports_2k,single_prompt_2k,historical_price,dated_page_evidence,verification
marble-1.1/multi-image-to-world,marble-1.1 多图生3D世界,image,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":10.75,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
marble-1.1-plus/multi-image-to-world,marble-1.1-plus 多图生3D世界,image,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":20.83,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
marble-1.1/image-to-world,marble-1.1 单图生3D世界,image,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""isPano""],""rules"":[{""when"":{""isPano"":""false""},""price"":10.62},{""when"":{""isPano"":""true""},""price"":10.08}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
marble-1.1-plus/image-to-world,marble-1.1-plus 单图生3D世界,image,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""isPano""],""rules"":[{""when"":{""isPano"":""false""},""price"":20.7},{""when"":{""isPano"":""true""},""price"":20.16}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
marble-1.1/text-to-world,marble-1.1 文生3D世界,string,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":10.62,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
marble-1.1-plus/text-to-world,marble-1.1-plus 文生3D世界,string,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":20.7,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
meshy6/text-to-3d,Meshy 6 文生 3D,3d,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":5.04,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
meshy6/image-to-3d,Meshy 6 图生 3D,3d,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":5.04,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
mureka-ai/files-upload,Mureka 文件上传,string,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.0,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
mureka-ai/mureka-v7.6/generate-song,Mureka-v7.6 歌曲生成,string,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""n""],""rules"":[{""when"":{""n"":""""},""price"":0.19}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
mureka-ai/mureka-o2/generate-song,Mureka-o2 歌曲生成,string,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""n""],""rules"":[{""when"":{""n"":""""},""price"":0.28}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
mureka-ai/mureka-v8/generate-song,Mureka-v8 歌曲生成,string,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""n""],""rules"":[{""when"":{""n"":""""},""price"":0.28}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
mureka-ai/mureka-v9/generate-song,Mureka-v9 歌曲生成,string,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""n""],""rules"":[{""when"":{""n"":""""},""price"":0.28}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
mureka-ai/mureka-v7.6/generate-bgm,Mureka-v7.6 伴奏生成,string,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""n""],""rules"":[{""when"":{""n"":""""},""price"":0.19}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
mureka-o2/instrumental-generate,Mureka mureka-o2 伴奏生成-暂不可用,string,,,False,False,not_video,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
