endpoint,sku_id,name,category,output_type,resolutions,explicit_2k,classification,presence,upstream_updated_at,retrieved_at,source_url
minimax/hailuo-2.3/t2v-pro,2011999330699112450,海螺-2.3-文生视频-pro,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-24 20:02:25,2026-09-21T07:31:55.009498+00:00,https://www.runninghub.cn/call-api/api-detail/2011999330699112450
minimax/hailuo-2.3/t2v-standard,2011736159161741314,海螺-2.3-文生视频-标准,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-24 20:05:58,2026-09-21T07:31:52.260296+00:00,https://www.runninghub.cn/call-api/api-detail/2011736159161741314
minimax/hailuo-h3-max/image-to-video,2133100000000504205,MiniMax-H3-Max 图生视频（首尾帧）,image-to-video,video,480P|768P,False,excluded_no_2k,in_both,2026-09-01 12:03:40,2026-09-21T07:32:49.282176+00:00,https://www.runninghub.cn/call-api/api-detail/2133100000000504205
minimax/hailuo-h3-max/text-to-video,2133100000000504204,MiniMax-H3-Max 文生视频,text-to-video,video,480P|768P,False,excluded_no_2k,in_both,2026-09-01 12:03:44,2026-09-21T07:32:48.992946+00:00,https://www.runninghub.cn/call-api/api-detail/2133100000000504204
minimax/hailuo-h3/context-ir-image,2133100000000504303,MiniMax-H3-Context-IR 图像增强提示词,image-to-text,other,,False,not_video,in_both,2026-08-28 17:21:48,2026-09-21T07:32:51.100620+00:00,https://www.runninghub.cn/call-api/api-detail/2133100000000504303
minimax/hailuo-h3/context-ir-multimodal,2133100000000504301,MiniMax-H3-Context-IR 多模态增强提示词,reference-to-text,other,,False,not_video,in_both,2026-08-28 17:23:40,2026-09-21T07:32:50.732197+00:00,https://www.runninghub.cn/call-api/api-detail/2133100000000504301
minimax/hailuo-h3/context-ir-text,2133100000000504302,MiniMax-H3-Context-IR 文本增强提示词,text-to-text,other,,False,not_video,in_both,2026-08-28 17:22:25,2026-09-21T07:32:50.876612+00:00,https://www.runninghub.cn/call-api/api-detail/2133100000000504302
minimax/hailuo-h3/image-to-video,2133100000000504203,MiniMax-H3 图生视频（首尾帧）,image-to-video,video,2K|768P,True,optional_media,in_both,2026-08-27 15:01:43,2026-09-21T07:32:48.071542+00:00,https://www.runninghub.cn/call-api/api-detail/2133100000000504203
minimax/hailuo-h3/multimodal-to-video,2133100000000504201,MiniMax-H3 多模态参考生视频,reference-to-video,video,2K|768P,True,optional_media,in_both,2026-08-27 15:01:55,2026-09-21T07:32:48.350055+00:00,https://www.runninghub.cn/call-api/api-detail/2133100000000504201
minimax/hailuo-h3/regeneration-image-to-video,2133100000000504212,MiniMax-H3 图生视频再生成(768P→2K),image-to-video,video,2K,True,regeneration,in_both,2026-08-28 17:18:58,2026-09-21T07:32:50.014248+00:00,https://www.runninghub.cn/call-api/api-detail/2133100000000504212
minimax/hailuo-h3/regeneration-multimodal-to-video,2133100000000504213,MiniMax-H3 多模态参考生视频再生成(768P→2K),reference-to-video,video,2K,True,regeneration,in_both,2026-08-28 17:17:24,2026-09-21T07:32:50.159950+00:00,https://www.runninghub.cn/call-api/api-detail/2133100000000504213
minimax/hailuo-h3/regeneration-text-to-video,2133100000000504211,MiniMax-H3 文生视频再生成(768P→2K),text-to-video,video,2K,True,regeneration,in_both,2026-08-28 17:19:54,2026-09-21T07:32:49.850548+00:00,https://www.runninghub.cn/call-api/api-detail/2133100000000504211
